Stations_id von_datum bis_datum Stationshoehe geoBreite geoLaenge Stationsname Bundesland
03897 20060818 20231206 2 54.0893 10.8773 Pelzerhaken Schleswig-Holstein
03905 19900829 20231206 407 49.5214 6.4476 Perl-Sinz-Renglischberg Saarland
03921 19740601 19960430 396 49.8500 7.6000 Pferdsfeld Rheinland-Pfalz
03925 19890406 20231206 332 48.9329 8.6973 Pforzheim-Ispringen Baden-Wurttemberg
03946 19730101 20231206 387 50.4818 12.1300 Plauen Sachsen
03954 19700701 19960930 26 54.1603 10.4345 Plon_(Max-Planck-Institut) Schleswig-Holstein
03987 18930101 20231206 81 52.3812 13.0622 Potsdam Brandenburg
03988 18930101 20020831 81 52.3822 13.0622 Potsdam_(Sakularstation) Brandenburg
04024 19820101 20231206 40 54.3643 13.4771 Putbus Mecklenburg-Vorpommern
04032 20080521 20231206 142 51.7953 11.1320 Quedlinburg Sachsen-Anhalt
04036 20091012 20231206 204 51.3895 11.5412 Querfurt-Muhle_Lodersleben Sachsen-Anhalt
04039 19821201 20231206 11 53.7331 9.8776 Quickborn Schleswig-Holstein
04094 19971209 20231206 441 47.8062 9.6206 Weingarten,_Kr._Ravensburg Baden-Wurttemberg
04104 19490101 20231206 365 49.0425 12.1019 Regensburg Bayern
04174 19710101 20171219 40 52.2887 7.3866 Rheine-Bentlage Nordrhein-Westfalen
04177 20081101 20231206 116 48.9726 8.3301 Rheinstetten Baden-Wurttemberg
04225 19790601 20190412 373 49.2195 12.5360 Roding-Wetterfeld Bayern
04271 19540101 20231206 5 54.1803 12.0808 Rostock-Warnemunde Mecklenburg-Vorpommern
04279 19890418 20231206 593 50.3046 6.3863 Roth_bei_Prum Rheinland-Pfalz
04280 19710101 20231206 386 49.2162 11.1035 Roth Bayern
04335 19770701 19830630 206 49.2500 6.9500 Saarbrucken_(Rochling) Saarland
04336 19560101 20231206 319 49.2128 7.1077 Saarbrucken-Ensheim Saarland
04338 19750701 19880126 191 49.2170 7.0199 Saarbrucken_(Wasserwerk) Saarland
04343 19790101 19931130 180 49.3256 6.7354 Saarlouis Saarland
04347 20001011 20030708 293 51.5909 10.5691 Sachsa,_Bad Niedersachsen
04350 19710101 20081231 339 47.5619 7.9399 Sackingen,_Bad_(Bergseestr.) Baden-Wurttemberg
